"filename", "language", "JSON", "Markdown", "SCSS", "JSON with Comments", "TypeScript", "HTML", "XML", "comment", "blank", "total"
"c:\Users\aymen\Desktop\main\src\app\pages\Books\edit-book\edit-book.component.ts", "TypeScript", 0, 0, 0, 0, 116, 0, 0, 4, 21, 141
"c:\Users\aymen\Desktop\main\src\app\pages\Cart\cart\cart.component.html", "HTML", 0, 0, 0, 0, 0, 31, 0, 0, 6, 37
"c:\Users\aymen\Desktop\main\src\app\pages\Cart\cart\cart.component.scss", "SCSS", 0, 0, 129, 0, 0, 0, 0, 2, 18, 149
"c:\Users\aymen\Desktop\main\src\app\pages\Cart\cart\cart.component.spec.ts", "TypeScript", 0, 0, 0, 0, 18, 0, 0, 0, 6, 24
"c:\Users\aymen\Desktop\main\src\app\pages\Cart\cart\cart.component.ts", "TypeScript", 0, 0, 0, 0, 105, 0, 0, 2, 32, 139
"c:\Users\aymen\Desktop\main\src\app\pages\Client\bookdetail\bookdetail.component.html", "HTML", 0, 0, 0, 0, 0, 42, 0, 1, 24, 67
"c:\Users\aymen\Desktop\main\src\app\pages\Client\bookdetail\bookdetail.component.scss", "SCSS", 0, 0, 89, 0, 0, 0, 0, 2, 22, 113
"c:\Users\aymen\Desktop\main\src\app\pages\Client\bookdetail\bookdetail.component.spec.ts", "TypeScript", 0, 0, 0, 0, 18, 0, 0, 0, 6, 24
"c:\Users\aymen\Desktop\main\src\app\pages\Client\bookdetail\bookdetail.component.ts", "TypeScript", 0, 0, 0, 0, 61, 0, 0, 1, 17, 79
"c:\Users\aymen\Desktop\main\src\app\pages\Client\client-sidebar\client-sidebar.component.html", "HTML", 0, 0, 0, 0, 0, 46, 0, 0, 9, 55
"c:\Users\aymen\Desktop\main\src\app\pages\Client\client-sidebar\client-sidebar.component.scss", "SCSS", 0, 0, 110, 0, 0, 0, 0, 3, 51, 164
"c:\Users\aymen\Desktop\main\src\app\pages\Client\client-sidebar\client-sidebar.component.spec.ts", "TypeScript", 0, 0, 0, 0, 18, 0, 0, 0, 6, 24
"c:\Users\aymen\Desktop\main\src\app\pages\Client\client-sidebar\client-sidebar.component.ts", "TypeScript", 0, 0, 0, 0, 58, 0, 0, 1, 13, 72
"c:\Users\aymen\Desktop\main\src\app\pages\Client\front-page\front-page.component.html", "HTML", 0, 0, 0, 0, 0, 125, 0, 57, 37, 219
"c:\Users\aymen\Desktop\main\src\app\pages\Client\front-page\front-page.component.scss", "SCSS", 0, 0, 257, 0, 0, 0, 0, 26, 70, 353
"c:\Users\aymen\Desktop\main\src\app\pages\Client\front-page\front-page.component.spec.ts", "TypeScript", 0, 0, 0, 0, 18, 0, 0, 0, 6, 24
"c:\Users\aymen\Desktop\main\src\app\pages\Client\front-page\front-page.component.ts", "TypeScript", 0, 0, 0, 0, 283, 0, 0, 48, 74, 405
"c:\Users\aymen\Desktop\main\src\app\pages\Client\history\history.component.html", "HTML", 0, 0, 0, 0, 0, 23, 0, 0, 2, 25
"c:\Users\aymen\Desktop\main\src\app\pages\Client\history\history.component.scss", "SCSS", 0, 0, 47, 0, 0, 0, 0, 2, 10, 59
"c:\Users\aymen\Desktop\main\src\app\pages\Client\history\history.component.spec.ts", "TypeScript", 0, 0, 0, 0, 18, 0, 0, 0, 6, 24
"c:\Users\aymen\Desktop\main\src\app\pages\Client\history\history.component.ts", "TypeScript", 0, 0, 0, 0, 78, 0, 0, 3, 21, 102
"c:\Users\aymen\Desktop\main\src\app\pages\Client\order\order.component.html", "HTML", 0, 0, 0, 0, 0, 42, 0, 0, 11, 53
"c:\Users\aymen\Desktop\main\src\app\pages\Client\order\order.component.scss", "SCSS", 0, 0, 225, 0, 0, 0, 0, 12, 39, 276
"c:\Users\aymen\Desktop\main\src\app\pages\Client\order\order.component.spec.ts", "TypeScript", 0, 0, 0, 0, 18, 0, 0, 0, 6, 24
"c:\Users\aymen\Desktop\main\src\app\pages\Client\order\order.component.ts", "TypeScript", 0, 0, 0, 0, 92, 0, 0, 2, 22, 116
"c:\Users\aymen\Desktop\main\src\app\pages\User\add-user\add-user.component.html", "HTML", 0, 0, 0, 0, 0, 43, 0, 0, 7, 50
"c:\Users\aymen\Desktop\main\src\app\pages\User\add-user\add-user.component.scss", "SCSS", 0, 0, 47, 0, 0, 0, 0, 0, 10, 57
"c:\Users\aymen\Desktop\main\src\app\pages\User\add-user\add-user.component.spec.ts", "TypeScript", 0, 0, 0, 0, 18, 0, 0, 0, 6, 24
"c:\Users\aymen\Desktop\main\src\app\pages\User\add-user\add-user.component.ts", "TypeScript", 0, 0, 0, 0, 77, 0, 0, 4, 19, 100
"c:\Users\aymen\Desktop\main\src\app\pages\User\edit-user\edit-user.component.html", "HTML", 0, 0, 0, 0, 0, 40, 0, 0, 8, 48
"c:\Users\aymen\Desktop\main\src\app\pages\User\edit-user\edit-user.component.scss", "SCSS", 0, 0, 47, 0, 0, 0, 0, 0, 10, 57
"c:\Users\aymen\Desktop\main\src\app\pages\User\edit-user\edit-user.component.spec.ts", "TypeScript", 0, 0, 0, 0, 18, 0, 0, 0, 6, 24
"c:\Users\aymen\Desktop\main\src\app\pages\User\edit-user\edit-user.component.ts", "TypeScript", 0, 0, 0, 0, 107, 0, 0, 5, 23, 135
"c:\Users\aymen\Desktop\main\src\app\pages\User\users\users.component.html", "HTML", 0, 0, 0, 0, 0, 82, 0, 3, 22, 107
"c:\Users\aymen\Desktop\main\src\app\pages\User\users\users.component.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\aymen\Desktop\main\src\app\pages\User\users\users.component.spec.ts", "TypeScript", 0, 0, 0, 0, 18, 0, 0, 0, 6, 24
"c:\Users\aymen\Desktop\main\src\app\pages\User\users\users.component.ts", "TypeScript", 0, 0, 0, 0, 134, 0, 0, 4, 36, 174
"c:\Users\aymen\Desktop\main\src\app\pages\authentication\authentication.module.ts", "TypeScript", 0, 0, 0, 0, 33, 0, 0, 1, 5, 39
"c:\Users\aymen\Desktop\main\src\app\pages\authentication\authentication.routing.ts", "TypeScript", 0, 0, 0, 0, 18, 0, 0, 0, 3, 21
"c:\Users\aymen\Desktop\main\src\app\pages\authentication\login\login.component.html", "HTML", 0, 0, 0, 0, 0, 38, 0, 35, 9, 82
"c:\Users\aymen\Desktop\main\src\app\pages\authentication\login\login.component.scss", "SCSS", 0, 0, 29, 0, 0, 0, 0, 2, 3, 34
"c:\Users\aymen\Desktop\main\src\app\pages\authentication\login\login.component.ts", "TypeScript", 0, 0, 0, 0, 52, 0, 0, 1, 10, 63
"c:\Users\aymen\Desktop\main\src\app\pages\authentication\register\register.component.html", "HTML", 0, 0, 0, 0, 0, 78, 0, 16, 12, 106
"c:\Users\aymen\Desktop\main\src\app\pages\authentication\register\register.component.scss", "SCSS", 0, 0, 29, 0, 0, 0, 0, 2, 5, 36
"c:\Users\aymen\Desktop\main\src\app\pages\authentication\register\register.component.ts", "TypeScript", 0, 0, 0, 0, 42, 0, 0, 0, 7, 49
"c:\Users\aymen\Desktop\main\src\app\pages\dashboard\dashboard.component.html", "HTML", 0, 0, 0, 0, 0, 265, 0, 61, 40, 366
"c:\Users\aymen\Desktop\main\src\app\pages\dashboard\dashboard.component.scss", "SCSS", 0, 0, 40, 0, 0, 0, 0, 2, 4, 46
"c:\Users\aymen\Desktop\main\src\app\pages\dashboard\dashboard.component.ts", "TypeScript", 0, 0, 0, 0, 488, 0, 0, 66, 64, 618
"c:\Users\aymen\Desktop\main\src\app\pages\dashboard\lol.html", "HTML", 0, 0, 0, 0, 0, 162, 0, 12, 3, 177
"c:\Users\aymen\Desktop\main\src\app\pages\extra\extra.module.ts", "TypeScript", 0, 0, 0, 0, 25, 0, 0, 1, 5, 31
"c:\Users\aymen\Desktop\main\src\app\pages\extra\extra.routing.ts", "TypeScript", 0, 0, 0, 0, 18, 0, 0, 1, 4, 23
"c:\Users\aymen\Desktop\main\src\app\pages\extra\icons\icons.component.html", "HTML", 0, 0, 0, 0, 0, 8, 0, 3, 1, 12
"c:\Users\aymen\Desktop\main\src\app\pages\extra\icons\icons.component.ts", "TypeScript", 0, 0, 0, 0, 10, 0, 0, 0, 5, 15
"c:\Users\aymen\Desktop\main\src\app\pages\extra\sample-page\sample-page.component.html", "HTML", 0, 0, 0, 0, 0, 6, 0, 3, 1, 10
"c:\Users\aymen\Desktop\main\src\app\pages\extra\sample-page\sample-page.component.ts", "TypeScript", 0, 0, 0, 0, 10, 0, 0, 0, 5, 15
"c:\Users\aymen\Desktop\main\src\app\pages\pages.module.ts", "TypeScript", 0, 0, 0, 0, 23, 0, 0, 1, 2, 26
"c:\Users\aymen\Desktop\main\src\app\pages\pages.routing.module.ts", "TypeScript", 0, 0, 0, 0, 11, 0, 0, 0, 2, 13
"c:\Users\aymen\Desktop\main\src\app\pages\ui-components\badge\badge.component.html", "HTML", 0, 0, 0, 0, 0, 50, 0, 0, 7, 57
"c:\Users\aymen\Desktop\main\src\app\pages\ui-components\badge\badge.component.ts", "TypeScript", 0, 0, 0, 0, 14, 0, 0, 0, 7, 21
"c:\Users\aymen\Desktop\main\src\app\pages\ui-components\chips\chips.component.html", "HTML", 0, 0, 0, 0, 0, 138, 0, 15, 9, 162
"c:\Users\aymen\Desktop\main\src\app\pages\ui-components\chips\chips.component.scss", "SCSS", 0, 0, 6, 0, 0, 0, 0, 0, 1, 7
"c:\Users\aymen\Desktop\main\src\app\pages\ui-components\chips\chips.component.ts", "TypeScript", 0, 0, 0, 0, 70, 0, 0, 11, 19, 100
"c:\Users\aymen\Desktop\main\src\app\pages\ui-components\lists\lists.component.html", "HTML", 0, 0, 0, 0, 0, 155, 0, 21, 9, 185
"c:\Users\aymen\Desktop\main\src\app\pages\ui-components\lists\lists.component.ts", "TypeScript", 0, 0, 0, 0, 37, 0, 0, 0, 5, 42
