"filename", "language", "HTML", "TypeScript", "SCSS", "comment", "blank", "total"
"c:\Users\aymen\Desktop\main\src\app\pages\Client\bookdetail\bookdetail.component.html", "HTML", 42, 0, 0, 1, 24, 67
"c:\Users\aymen\Desktop\main\src\app\pages\Client\bookdetail\bookdetail.component.scss", "SCSS", 0, 0, 89, 2, 22, 113
"c:\Users\aymen\Desktop\main\src\app\pages\Client\bookdetail\bookdetail.component.spec.ts", "TypeScript", 0, 18, 0, 0, 6, 24
"c:\Users\aymen\Desktop\main\src\app\pages\Client\bookdetail\bookdetail.component.ts", "TypeScript", 0, 61, 0, 1, 17, 79
"c:\Users\aymen\Desktop\main\src\app\pages\Client\client-sidebar\client-sidebar.component.html", "HTML", 46, 0, 0, 0, 9, 55
"c:\Users\aymen\Desktop\main\src\app\pages\Client\client-sidebar\client-sidebar.component.scss", "SCSS", 0, 0, 110, 3, 51, 164
"c:\Users\aymen\Desktop\main\src\app\pages\Client\client-sidebar\client-sidebar.component.spec.ts", "TypeScript", 0, 18, 0, 0, 6, 24
"c:\Users\aymen\Desktop\main\src\app\pages\Client\client-sidebar\client-sidebar.component.ts", "TypeScript", 0, 58, 0, 1, 13, 72
"c:\Users\aymen\Desktop\main\src\app\pages\Client\front-page\front-page.component.html", "HTML", 127, 0, 0, 57, 41, 225
"c:\Users\aymen\Desktop\main\src\app\pages\Client\front-page\front-page.component.scss", "SCSS", 0, 0, 275, 30, 70, 375
"c:\Users\aymen\Desktop\main\src\app\pages\Client\front-page\front-page.component.spec.ts", "TypeScript", 0, 18, 0, 0, 6, 24
"c:\Users\aymen\Desktop\main\src\app\pages\Client\front-page\front-page.component.ts", "TypeScript", 0, 297, 0, 22, 86, 405
"c:\Users\aymen\Desktop\main\src\app\pages\Client\history\history.component.html", "HTML", 23, 0, 0, 0, 2, 25
"c:\Users\aymen\Desktop\main\src\app\pages\Client\history\history.component.scss", "SCSS", 0, 0, 47, 2, 10, 59
"c:\Users\aymen\Desktop\main\src\app\pages\Client\history\history.component.spec.ts", "TypeScript", 0, 18, 0, 0, 6, 24
"c:\Users\aymen\Desktop\main\src\app\pages\Client\history\history.component.ts", "TypeScript", 0, 78, 0, 3, 21, 102
"c:\Users\aymen\Desktop\main\src\app\pages\Client\order\order.component.html", "HTML", 42, 0, 0, 0, 11, 53
"c:\Users\aymen\Desktop\main\src\app\pages\Client\order\order.component.scss", "SCSS", 0, 0, 225, 12, 39, 276
"c:\Users\aymen\Desktop\main\src\app\pages\Client\order\order.component.spec.ts", "TypeScript", 0, 18, 0, 0, 6, 24
"c:\Users\aymen\Desktop\main\src\app\pages\Client\order\order.component.ts", "TypeScript", 0, 92, 0, 2, 22, 116
"c:\Users\aymen\Desktop\main\src\app\pages\User\add-user\add-user.component.html", "HTML", 43, 0, 0, 0, 7, 50
"c:\Users\aymen\Desktop\main\src\app\pages\User\add-user\add-user.component.scss", "SCSS", 0, 0, 100, 1, 19, 120
"c:\Users\aymen\Desktop\main\src\app\pages\User\add-user\add-user.component.spec.ts", "TypeScript", 0, 18, 0, 0, 6, 24
"c:\Users\aymen\Desktop\main\src\app\pages\User\add-user\add-user.component.ts", "TypeScript", 0, 71, 0, 4, 20, 95
"c:\Users\aymen\Desktop\main\src\app\pages\User\edit-user\edit-user.component.html", "HTML", 40, 0, 0, 0, 8, 48
"c:\Users\aymen\Desktop\main\src\app\pages\User\edit-user\edit-user.component.scss", "SCSS", 0, 0, 139, 0, 21, 160
"c:\Users\aymen\Desktop\main\src\app\pages\User\edit-user\edit-user.component.spec.ts", "TypeScript", 0, 18, 0, 0, 6, 24
"c:\Users\aymen\Desktop\main\src\app\pages\User\edit-user\edit-user.component.ts", "TypeScript", 0, 101, 0, 5, 24, 130
"c:\Users\aymen\Desktop\main\src\app\pages\User\users\users.component.html", "HTML", 82, 0, 0, 3, 22, 107
"c:\Users\aymen\Desktop\main\src\app\pages\User\users\users.component.scss", "SCSS", 0, 0, 0, 0, 1, 1
"c:\Users\aymen\Desktop\main\src\app\pages\User\users\users.component.spec.ts", "TypeScript", 0, 18, 0, 0, 6, 24
"c:\Users\aymen\Desktop\main\src\app\pages\User\users\users.component.ts", "TypeScript", 0, 134, 0, 4, 36, 174
"c:\Users\aymen\Desktop\main\src\app\pages\authentication\authentication.module.ts", "TypeScript", 0, 33, 0, 1, 5, 39
"c:\Users\aymen\Desktop\main\src\app\pages\authentication\authentication.routing.ts", "TypeScript", 0, 18, 0, 0, 3, 21
"c:\Users\aymen\Desktop\main\src\app\pages\authentication\login\login.component.html", "HTML", 38, 0, 0, 35, 9, 82
"c:\Users\aymen\Desktop\main\src\app\pages\authentication\login\login.component.scss", "SCSS", 0, 0, 29, 2, 6, 37
"c:\Users\aymen\Desktop\main\src\app\pages\authentication\login\login.component.ts", "TypeScript", 0, 46, 0, 1, 17, 64
"c:\Users\aymen\Desktop\main\src\app\pages\authentication\register\register.component.html", "HTML", 78, 0, 0, 16, 12, 106
"c:\Users\aymen\Desktop\main\src\app\pages\authentication\register\register.component.scss", "SCSS", 0, 0, 29, 2, 5, 36
